id,name,description,img_url,category,inventory,price
59,Pure Fix Sticker Pack,<p><p>Rep your ride with some sweet new Pure Fix stickers!  These sticker packs come with a random assortment of sticker designs and include roughly 5 stickers per pack.  Think of it like a grab bag full of stickery awesomeness.  Who knows what you'll find!  Well you'll probably find stickers but you get the idea: Pure Fix + Stickers = Awesome BOOM!</p></p>,https://cdn.shopify.com/s/files/1/0923/8062/products/stickersweb_1.jpeg?v=1438625830,"Accessories, Stickers",44,92.95
60,Pure Fix Tribal Tee,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>This all new Pure Fix Cycles shirt is printed on American Apparel's classic Cotton Shirt. These shirts are printed with premium American made water based ink that will last a lifetime!</p>
<p>For sizing, see American Apparel's <a href=""http://www.americanapparel.net/sizing/size.asp?chart=mu.shirts&amp;region=US&amp;lang=en"" target=""_blank"">Sizing Sheet</a></p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/gray_shirt_black_wing_3.jpeg?v=1438625828,"Black, Clothes, Concrete, Grey, Mint, Shirt, Shirts, White",67,128.95
61,Pure Fix Trucker Hat,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>Looking good has never been so easy.  Introducing the <b>Pure Fix Trucker Hat</b>, the best thing to happen to lids since tupperware...BOOM! </p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/long-beach-trucker-hat_1.jpeg?v=1438625823,"Hat, Hats, Yellow",60,43.95
62,Pure Fix Urban Saddle,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>The Pure Fix urban saddle was designed with speed, efficiency, and comfort in mind.  The saddle has steel rails and will fit most bicycles.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/Urban_saddle_Black.jpeg?v=1438625820,"Black, Parts, Red, Saddle, Saddles, Saddles and Seatposts, Seat, White, Yellow",76,183.95
63,Pursuit Bars,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>These 44cm alloy pursuit bull horn handlebars are mean.  Designed by Pure Fix Cycles in California.</p>
<p>List of Specs:</p>
<ul>
<li>17-3/8"" Wide</li>
<li>3.5"" High</li>
<li>These bars have an ISO standard 25.4mm stem clamp diameter and 22.2mm brake clamp diameter</li>
</ul></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/pursuit_bars_Alloy.jpeg?v=1438625814,"Alloy, Bars, Bars and Stems, Bars and Tape, Bars Tape Grips and Stems, Black, Bullhorn, Gold, Handle Bars, Handlebars, Parts, Pursuit, White",20,9.95
64,Rema Tip Top Patch Kit,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>Flats got you down?  We've got a fix for that!</p>
<p>Our patch kit comes with everything you need to mend a leaky tube and get riding again ASAP.  Small and portable, these are great to carry on a commute, weekend excursion, or even just a ride around town.</p>
<p>Each kit includes:</p>
<ul>
<li>4 round tube patches</li>
<li>1 oval tube patch</li>
<li>1 emery paper</li>
<li>1 tube of CFC-free cement</li>
</ul></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/rema_tt_patch_kit_1.jpeg?v=1438625810,"Accessories, Patch Kit, Patch Kits, Safety Gear, Tire, Tools, Tools and Maintenance, Tube, Wheelsets and Accessories",98,156.95
65,Seatpost,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>The Pure Fix Seatpost comes in four colors: white, black, alloy, and gold.</p>
<p>The seatpost will fit your Pure Fix perfectly as well as most bicycles with a 25.4mm tube.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/SeatPostsTight.jpeg?v=1438625809,"Alloy, Black, Gold, Parts, Saddles and Seatposts, Seat Post, seatpost, Seatposts and Clamps, White",26,68.95
66,Seatpost Clamp,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>These 28.6mm and 31.8mm alloy seatpost clamps come in four stunning colors: silver, black, white and gold.  The perfect accessory to accent your new fixed gear bike.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/seat-post-clamps_1.jpeg?v=1438625806,"Alloy, Black, Gold, Parts, Saddles and Seatposts, Seat Post Clamp, Seatposts and Clamps, White",73,102.95
67,Steel Core Tire Lever,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><div>
<p>A must-have for changing flats, these tire levers make it super easy to remove and install tires.  These sweet levers feature a heavy-duty <b>steel core</b> and <b>nylon coating</b> to avoid scratching rims and pinching tubes.</p>
</div></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/tire-lever_1.png?v=1438625805,"Tire, Tire Lever, Tool, Tools",28,40.95
68,The Bogey,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p class=""lead"">Fixed-Gear Freestyle gets the Pure Fix treatment.</p>
<p>Designed with performance and style in mind, these FGFS bikes ride as good as they look. Specially constructed to handle wheelies, barspins, and jumping steps, our FGFS line is a perfect balance between BMX and Fixed-Gear -- letting you ride through traffic and trick at the same time.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/bogey_1201.jpeg?v=1438625801,"Black, FGFS, FGFS Series, Fixed Gear Freestyle, Grey, Trick Bike, Trick Fixie",96,178.95
69,Bravo,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>The name says it all, the Bravo's blue-on-black design is worth a round of applause. Minimalism is genius (and so are you, for picking this one).</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/BRAVO_2014_SEAMLESS_SIDE_KENDA_WEB.jpeg?v=1442512880,"47cm, 50cm, 54cm, 58cm, Bicycle, Bicycles, Bike, Black, Blue, College Fixie, Fixed Gear, Fixie, Pure Fix Cycles, Urban Fixie",69,81.95
70,The Chief,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p class=""lead"">Fixed-Gear Freestyle gets the Pure Fix treatment.</p>
<p>Designed with performance and style in mind, these FGFS bikes ride as good as they look. Specially constructed to handle wheelies, barspins, and jumping steps, our FGFS line is a perfect balance between BMX and Fixed-Gear -- letting you ride through traffic and trick at the same time.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/chief_1201.jpeg?v=1438625781,"Black, FGFS, FGFS Series, Fixed Gear Freestyle, Trick Bike, Trick Fixie, White",23,38.95
71,The Delta,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p class=""lead"">With its classic celeste frame and powder pink wheels, this bike makes every day feel like Independence Day.</p>
<p class=""tertiary"">See our <a href=""/pages/pure-fix-original-specs"">full specifications</a>.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/delta_1200.jpeg?v=1438625774,"Bicycle, Bicycles, Bike, Celeste, College Fixie, Fixed Gear, Fixie, Pink, Pure Fix Cycles, Urban Fixie",98,151.95
72,Echo,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>Whether you're a vampire or just an urban nightcrawler, the Echo's red-on-black design is the perfect style for a sexy devil like you.</p>
<p class=""secondary""><em>*43cm will come with a rear brake, 650c wheels, and 650x23c tires.</em></p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/ECHO_2014_SEAMLESS_SIDE_KENDA_WEB.jpeg?v=1442433490,"43cm, 47cm, 50cm, 54cm, 58cm, Bicycle, Bicycles, Bike, Black, College Fixie, Fixed Gear, Fixie, Matte Black, Pure Fix Cycles, Red, Urban Fixie",72,127.95
73,The Foxtrot,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p class=""lead"">Deep Matte Purple frame with Black Deep dish wheels and Yellow hubs.</p>
<p>Whether you're in Minneapolis or Los Angeles, the Foxtrot's purple frame and black wheels make a fabulous duo. Fit for a queen (or a forward-thinking King).</p>
<p class=""tertiary"">See our <a href=""/pages/pure-fix-original-specs"">full specifications</a>.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/foxtrot_1200.jpeg?v=1438625763,"Bicycle, Bicycles, Bike, Black, College Fixie, Fixed Gear, Fixie, Pure Fix Cycles, Purple, Urban Fixie, Yellow",37,164.95
74,The Golf,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p class=""lead"">Gloss Powder Blue frame with Orange deep dish wheels.</p>
<p>Fore! This pretty powder blue beauty will have everyone oohing and awing as you cruise by in style. With smooth orange wheels and silver components, this really is a whole-in-one...hooray for golf puns!</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/WEB_2048_0016_Golf.jpeg?v=1438625756,"50cm, 54cm, Bicycle, Bicycles, Bike, Blue, Fixed Gear, Fixie, Light Blue, Orange, Pure Fix Cycles, Urban Fixie",31,124.95
75,Hotel,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>With a black frame and green wheels that shine into the night, you'll look as good as <i>glow</i>! Get ready to take your night riding to a whole new level. After months of experimentation, we've perfected the GLOW, our newest line. The name says it all, it actually glows. The paint is solar-activated, so just give your bike an hour of daytime sun for an hour plus of night-time fun. Whether you're a night owl, a raver, or just want to trip out your friends, this is the bike for you.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/HOTEL_2014_SEAMLESS_SIDE_KENDA_WEB.jpeg?v=1442434185,"50cm, 54cm, 58cm, Bicycles, Bike, Black, College Fixie, Fixed Gear, Fixie, Glow, Glow Bikes, Glow In The Dark, Glow Series, Green, Pure Fix Cycles, Urban Fixie",71,129.95
76,India,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>With its matte-black frame, anodized gold wheels and rich harvest-gold seat post and risers, the India's regal design has already turned heads from Brooklyn to Bangalore.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/INDIA_2014_SEAMLESS_SIDE_KENDA_WEB.jpeg?v=1442433561,"50cm, 54cm, 58cm, Bicycle, Bicycles, Bike, Black, Fixed Gear, Fixie, Gold, Matte Black, Pure Fix Cycles",99,46.95
77,Juliet,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>Don't let her dainty name deceive you, the Juliet's a lady of the night. Black-on-black with deep dish wheels designed to break hearts (not just Romeo's).</p>
<p class=""secondary""><em>*43cm will come with a rear brake, 650C wheels and 650x23c tires.</em></p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/JULIET_2014_SEAMLESS_SIDE_KENDA_WEB.jpeg?v=1442433587,"43cm, 47cm, 50cm, 54cm, 58cm, 61cm, 64cm, Bicycle, Bicycles, Bike, Black, Fixed Gear, Fixie, Matte Black, Pure Fix Cycles",69,189.95
78,Kilo,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>Get ready to take your night riding to a whole new level. After months of experimentation, we've perfected the GLOW, our newest line. The name says it all, it actually glows. The paint is solar-activated, so just give your bike an hour of daytime sun for an hour plus of night-time fun. Whether you're a night owl, a raver, or just want to trip out your friends, this is the bike for you.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/KILO_2014_SEAMLESS_SIDE_KENDA_WEB.jpeg?v=1442434207,"43cm, 47cm, 50cm, 54cm, 58cm, 61cm, Bicycles, Bike, Black, College Fixie, Fixed Gear, Fixie, Glow, Glow Bikes, Glow In The Dark, Glow Series, Green, Pure Fix Cycles, Urban Fixie, Yellow",96,114.95
79,The Lima,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p class=""lead"">This limited edition bike comes with a little bit of color for everyone! We start with a crisp and clean matte black frame. Then it's all-color-everything. Ya like blue? Got it. Red? Sure thing. Yellow? Duh! Pink? Obviously! Don't wait, these won't be around for long!</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/lima_1200.jpeg?v=1438625709,"Bicycle, Bicycles, Bike, Blue, College Fixie, Fixed Gear, Fixie, Green, Limited Edition, Matte Black, Pink, Pure Fix Cycles, Red, Urban Fixie, Yellow",26,1.95
80,Micro Echo,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p class=""lead"">The Echo's classic black frame and deep, dark red wheels are about as smooth as smooth can be, and let me tell you something, that's pretty smooth.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/ECHO_2014_SEAMLESS_SIDE_WEB.jpeg?v=1442434378,"Black, Kids Fixie, Micro, Micro Series, Red",97,88.95
81,Micro Juliet,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p class=""lead"">Our Juliet is more midnight than morning sun.  Built to break hearts, this black-on-black bike can handle anything.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/JULIET_2014_SEAMLESS_SIDE_WEB.jpeg?v=1442434400,"Black, Kids Fixie, Micro, Micro Series",7,162.95
82,Micro Kilo,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p class=""lead"">This is where it all began, kids, a true glow-riginal!  A neon green frame that shines just as bright at night, it's the one that started it all.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/KILO_2014_SEAMLESS_SIDE_-WEB.jpeg?v=1442434248,"Black, Glow, Glow Bikes, Glow In The Dark, Glow Series, Green, Kids Fixie, Micro, Micro Series, Yellow",95,82.95
83,Micro Papa,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p class=""lead"">This ain't your daddy's bicycle. Matte grey with orange wheels, people will call you Big Papa on this swanky set of wheels.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/PAPA_2014_SEAMLESS_SIDE_WEB.jpeg?v=1442434411,"Grey, Kids Fixie, Micro, Micro Series, Orange",17,23.95
84,Micro Romeo,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p class=""lead"">The white-on-white Romeo, cleaner than clean? Need we say more?</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/ROMEO_2014_SEAMLESS_SIDE_WEB.jpeg?v=1442434426,"Kids Fixie, Micro, Micro Series, White",40,100.95
85,Mike,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>Life may not be all black and white, but the Mike certainly is, with classy gold hubs for just the right amount of swag.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/MIKE_2015_SEAMLESS_SIDE_WEB.jpeg?v=1442433620,"50cm, 54cm, 58cm, Bicycle, Bicycles, Bike, College Fixie, Fixed Gear, Fixie, Gold, Matte Black, Pure Fix Cycles, Urban Fixie, White, WTB",39,37.95
86,November,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>As cool as an autumn breeze and as satisfying as that second-helping of Thanksgiving dinner, the November's classic blue frame and silver wheels give you the refreshing feel of fall all year round.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/NOVEMBER_2014_SEAMLESS_SIDE_KENDA_WEB.jpeg?v=1442433641,"50cm, 54cm, 58cm, Alloy, Bicycle, Bicycles, Bike, Blue, College Fixie, Fixed Gear, Fixie, Pure Fix Cycles, Silver, Urban Fixie",65,55.95
87,Oscar,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><h3>Oscar</h3>
<p class=""lead"">Here in L.A., everyone wants an Oscar but what you really want is our Oscar, which is swanky silver (not gold), and doesn't just sit on the shelf. Clean chrome frame with silver wheels to boot.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/OSCAR_2014_SEAMLESS_SIDE_KENDA_WEB.jpeg?v=1438625635,"50cm, 54cm, 58cm, Alloy, Bicycle, Bicycles, Bike, Chrome, College Fixie, Fixed Gear, Fixie, Pure Fix Cycles, Urban Fixie",45,20.95
88,Papa,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>This ain't your daddy's bicycle. Matte-grey with orange wheels, people will call you Big Papa on this swanky set of wheels.</p>
<meta charset=""utf-8"">
<p class=""secondary""><em>*43cm will come with a rear brake, 650c wheels, and 650x23c tires.</em></p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/PAPA_2014_SEAMLESS_SIDE_KENDA_WEB.jpeg?v=1442433662,"43, 43cm, 47cm, 50cm, 54cm, 58cm, Bicycle, Bicycles, Bike, Fixie, Grey, Matte Grey, Orange, Pure Fix Cycles",60,54.95
89,Quebec,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>Like a beautiful snowbird, the Quebec's ice-white frame looks just as chic in Montreal as anywhere farther south. The deep dish black wheels provide a cool contrast.</p>
<p class=""tertiary"">Now featuring <strong>black spokes.</strong></p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/QUEBEC_2015_SEAMLESS_SIDE_WEB.jpeg?v=1442433684,"50cm, 54cm, 58cm, Bicycle, Bicycles, Bike, Black, College Fixie, Fixed Gear, Fixie, Pure Fix Cycles, Urban Fixie, White, WTB",64,8.95
90,Romeo,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>White-on-white, The Romeo is the perfect fit for a super clean romantic like yourself.</p>
<meta charset=""utf-8"">
<p class=""secondary""><em>*43cm will come with a rear brake, 650c wheels, and 650x23c tires.</em></p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/ROMEO_2014_SEAMLESS_SIDE_KENDA_WEB.jpeg?v=1442433766,"43cm, 47cm, 50cm, 54cm, 58cm, 61cm, Bicycle, Bicycles, Bike, College Fixie, Fixed Gear, Fixie, Pure Fix Cycles, Urban Fixie, White",85,35.95
91,The Tango,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p class=""lead"">Fiery Orange frame with black deep dish wheels and a black fork dip.</p>
<p>A fiery orange frame with black wheels and matching black-dipped fork make the Tango a bike to be reckoned with. And at $325, you'll have enough Cash left in your pocket to handle whatever an 80s action movie (or modern city) can throw at you</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/Tango.png?v=1438625582,"Bicycle, Bicycles, Bike, Black, College Fixie, Fixed Gear, Fixie, Orange, Pure Fix Cycles, Urban Fixie",28,45.95
92,Uniform,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>This Uniform is all about doing right. For every bike sold, $100 goes to support the men and women in uniform at Charity water, giving them what they need to do the amazing work they do around the world. So put on your uniform by getting on one of ours, and you'll feel as good as you look.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/UNIFORM_2014_SEAMLESS_SIDE_LOGO_KENDA_WEB.png?v=1442849733,"50cm, 54cm, 58cm, Bicycle, Bicycles, Bike, Black, Charity, charity: water, Fixed Gear, Fixie, Pure Fix Cycles, Yellow",88,108.95
93,Victor,<p><p>Retro style meets modern performance. The Victor looks as good as a fresh pressed dress shirt and rides like a dream.</p></p>,https://cdn.shopify.com/s/files/1/0923/8062/products/VICTOR_SIDE_WEB.jpeg?v=1442433922,"47cm, 50cm, 54cm, Bicycle, Bicycles, Bike, Celeste, College Fixie, Fixed Gear, Fixie, Pure Fix Cycles, Urban Fixie, White",34,196.95
94,Whiskey,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>If the Whiskey were a beverage, it would definitely be a 12-year-old Scotch. Blue on grey for a smoky, timeless style.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/WHISKEY_2014_SEAMLESS_SIDE_KENDA_WEB.jpeg?v=1442433977,"47cm, 50cm, 54cm, 58cm, Bicycle, Bicycles, Bike, Blue, College Fixie, Fixed Gear, Fixie, Grey, Pure Fix Cycles, Urban Fixie",56,189.95
95,X-Ray,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>With it's smooth cream frame and mint green wheels, the X-Ray is a ride that looks as sweet as it would taste (it actually tastes a lot like metal) and rumor has it that the X-Ray was the inspiration behind the first bottles of creme de menthe. Whatever you believe, this is one smooth bike that will leave you looking and feeling fresh.</p>
<p><em>*43cm will come with a rear brake, 650c wheels, and 650x23c tires.</em></p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/XRAY_SIDE_WEB.jpeg?v=1442433992,"43cm, 47cm, 50cm, 54cm, 58cm, Bicycle, Bicycles, Bike, Celeste, Cream, Fixed Gear, Fixie, Pure Fix Cycles",52,143.95
96,Yankee,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>This Yankee doesn't stick close to home. In fact, it's a globe-trotting, life-saving, bad mamma jamma. <strong>That's right, for every bike sold, $100 goes to support the awesome work done by charity: water all over the world.</strong> So hop on the Yankee and put the ""oh!"" in H20.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/YANKEE_2014_SEAMLESS_SIDE_KENDA_WEB.png?v=1442849774,"47cm, 50cm, 54cm, 58cm, Bicycle, Bicycles, Bike, Black, charity: water, College Fixie, Fixed Gear, Fixie, Pure Fix Cycles, Urban Fixie, Yellow",56,134.95
97,Zulu,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>Get ready to take your night riding to a whole new level. After months of experimentation, we've perfected the GLOW, our newest line. The name says it all, it actually glows. The paint is solar-activated, so just give your bike an hour of daytime sun for an hour plus of night-time fun. Whether you're a night owl, a raver, or just want to trip out your friends, this is the bike for you.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/ZULU_2014_SEAMLESS_SIDE_KENDA_WEB.jpeg?v=1442434321,"47cm, 50cm, 54cm, 58cm, Bicycles, Bike, College Fixie, Fixed Gear, Fixie, Glow, Glow Bikes, Glow In The Dark, Glow Series, Pure Fix Cycles, Urban Fixie, White",71,36.95
98,Thickslick 700x25-28c Freedom Sport Tire,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>ThickSlick sport tires are no joke. These 700x25C &amp; 700x28C tires are built to withstand the harshest elements the road has to offer. ThickSlick tires feature twice the protection of a standard rubber casing tire. Built to last. But really, built to last. Sold as single tire.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/thickslick_1.jpeg?v=1438625503,"700C, Parts, Tire, Tires, Tires and Tubes, Tools and Maintenance, Wheelsets and Accessories",42,111.95
99,Triangle Bicycle Shelf,<p><p></p></p>,https://cdn.shopify.com/s/files/1/0923/8062/products/triangle-shelf_1.jpeg?v=1438625502,"Bike, College Fixie, Fixed Gear, Fixie, Shelf, Urban Fixie, Wood",47,199.95
100,Versair Mini Pump,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>The Planet Bike Mini Versair Dual Action pump allows standard handheld pumping on poor ground conditions or upright pumping to maximize power. Dual-action pumping handles both high-volume mountain bike tires, and high-pressure road tires, even over 100 psi. T-shaped handle and ergonomic base lever offers comfort, stability and power.</p>
<p> </p>
<p>Aluminum inner barrel with see-through outer barrel provides super-smooth pumping. Extension hose eases pumping, and it neatly tucks away when not needed; twisting lock head adapts to fit Presta or Schrader valves. Includes mounting bracket with rip-and-stick strap.</p>
<div></div></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/versair-mini-pump_1.jpeg?v=1438625501,"Presta valve, Pump, Pumps, Tool",4,172.95
101,Water Bottle Holder,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>This <i>all new </i>Pure Fix bottle holder is a great accessory for your fixie.</p>
<p>The all metal holder comes in five stunning anodized colors and fits perfectly on all our frames. Comes with screws!</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/bottle_holders_1.jpeg?v=1438625499,"Accessories, Alloy, Black, Blue, Bottles and Cages, Gold, Red, White",95,166.95
102,YNOT Saddle Roll,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p class=""p1"">Every 5-year-old knows that the best comeback to ""Why?"" is 'Why Not?!""  With the YNOT saddle roll, you can haul a spare tube, tire lever, keys, cell phone, can of beer, and more, all secured in place by super-tough Nylon that's light enough to carry anywhere and even easier to use. Now when your friends ask why you carry so much cool stuff with you every time you ride, embrace that inner-toddler and shout back, ""YNOT""?!</p>
<ul>
<li>1000D CORDURA¬ with water-resistant backing</li>
<li>Three interior compartments</li>
<li>Enough room for vitals (ie. tools, tube, levers, allen keys, pump, co2 kit, patch kit, etc)</li>
<li>Locking side release clip closure</li>
<li>Sewn with no. 69 Nylon thread</li>
<li>Bartacked for reinforcement</li>
</ul></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/ynot-saddle-roll-3.jpeg?v=1438625497,"Accessories, Bag, Bags, Saddle Bags, Saddle Roll, Saddles and Seatposts, Safety Gear, Tools",32,189.95
103,4mm 5mm 6mm Balldriver Y-Wrench,"<p><p><em>This is a demonstration store. You can purchase products like this from <a href=""https://www.purefixcycles.com"" target=""_blank"">Pure Fix Cycles</a></em></p><p>A favorite of professional mechanics around the world! The 4mm 5mm 6mm Balldriver Y-Wrench allows for quick insertion into bolt heads from a wider variety of angles. This baby is made from heat treated Bondhus Protanium, so it will last a lifetime. Plus, it's made in the USA!</p>
<p>Having a balldriver allows you to tighten screws at up to a 25 degree angle!</p>
<p class=""tertiary"">Note: Balldrivers are not intended for high torque situations.</p></p>",https://cdn.shopify.com/s/files/1/0923/8062/products/balldriver.jpeg?v=1438625494,"Accessories, Essential, Essentials, Safety Gear, Tool, Tools, Tools and Maintenance, Wrench",83,130.95
